Бульвар Рокоссовского
Черкизовская 
Преображенская площадь
Сокольники
Красносельская 
Комсомольская 
Красные Ворота
Лермонтовская 
Чистые пруды/Тургеневская/Сретенский бульвар
Кировская 
Кузнецкий Мост/Лубянка
Дзержинская 
Охотный Ряд/Театральная/Площадь Революции
Библиотека имени Ленина/Александровский сад/Арбатская/Боровицкая
Кропоткинская
Парк культуры
Фрунзенская 
Спортивная 
Воробьёвы горы
Университет
Пр. Вернадского
Юго-Западная 
Тропарёво
Румянцево
Саларьево
Филатов луг
Прошкино
Ольховая 
Коммунарка
Речной вокзал
Водный стадион
Войковская 
Сокол
Аэропорт
Динамо/Петровский парк
Белорусская 
Маяковская 
Тверская/Пушкинская/Чеховская
Горьковская 
Театральная
Площадь Свердлова
Новокузнецкая/Третьяковская
Павелецкая 
Автозаводская
Завод имени Сталина 
Технопарк
Коломенская 
Каширская 
Кантемировская
Царицыно
Ленино
Орехово
Домодедовская 
Красногвардейская/Зябликово
Алма-Атинская 
Пятницкое шоссе
Митино
Волоколамская 
Мякинино
Строгино
Крылатское
Молодёжная 
Кунцевская 
Славянский бульвар
Парк Победы
Киевская 
Смоленская 
Библиотека имени Ленина/Александровский сад/Арбатская/Боровицкая
Площадь Революции
Курская/Чкаловская
Бауманская 
Электрозаводская 
Семёновская 
Сталинская 
Партизанская
Измайловская 
Первомайская 
Щёлковская 
Кунцевская 
Пионерская 
Филёвский парк
Багратионовская 
Фили
Кутузовская 
Студенческая 
Международная 
Выставочная/Деловой центр
Киевская 
Смоленская 
Арбатская
Библиотека имени Ленина/Александровский сад/Арбатская/Боровицкая
Парк культуры
Октябрьская
Добрынинская/Серпуховская
Павелецкая
Таганская/Марксистская
Курская/Чкадовская
Комсомольская
Проспект Мира
Новослободская/Менделеевская
Белорусская
Краснопресненская/Баррикадная
Киевская
Медведково
Бабушкинская
Свиблово
Ботанический сад
ВДНХ
Алексеевская
Рижская
Проспект Мира
Сухаревская
Чистые пруды/Тургеневская/Сретенский бульвар
Китай-город
Новокузнецкая/Третьяковская
Октябрьская
Шаболовская
Ленинский проспект
Академическая
Профсоюзная
Новые Черёмушки
Калужская/Воронцовская
Беляево
Коньково
Тёплый Стан
Ясенево
Новоясеневская/Битцевский парк
Планерная
Сходненская
Тушинская
Спартак
Щукинская
Октябрьское поле
Полежаевская/Хорошевская
Беговая
Улица 1905 года
Краснопресненская/Баррикадная
Тверская/Пушкинская/Чеховская
Кузнецкий Мост/Лубянка
Китай-город
Таганская/Марксистская
Пролетарская/Крестьянская застава
Волгоградский проспект
Текстильщики
Кузьминки
Рязанский проспект
Выхино
Лермонтовский проспект/Косино
Жулебино
Котельники
Третьяковская
Таганская/Марксистская
Площадь Ильича
Авиамоторная
Шоссе Энтузиастов
Перово
Новогиреево
Новокосино
Рассказовка
Новопеределкино
Боровское шоссе
Солнцево
Говорово
Озёрная
Мичуринский проспект
Раменки
Ломоносовский проспект
Минская
Парк Победы
Выставочная/Деловой центр
Алтуфьево
Бибирево
Отрадное
Владыкино
Петровско-Разумовская
Тимирязевская 
Дмитровская 
Савёловская 
Новослободская/Менделеевская
Трубная/Цветной бульвар
Тверская/Пушкинская/Чеховская
Библиотека имени Ленина/Александровский сад/Арбатская/Боровицкая
Полянка
Добрынинская/Серпуховская
Тульская 
Нагатинская 
Нагорная 
Нахимовский пр-кт
Севастопольская/Каховская
Чертановская 
Южная
Пражская 
Улица Академика Янгеля
Аннино
Бульвар Дмитрия Донского
Селигерская 
Верхние Лихоборы
Окружная
Петровско-Разумовская
Фонвизинская 
Бутырская
Марьина роща
Достоевская
Трубная/Цветной бульвар
Чистые пруды/Тургеневская/Сретенский бульвар
Курская/Чкаловская
Римская 
Пролетарская/Крестьянская застава
Дубровка
Кожуховская 
Печатники
Волжская 
Люблино
Братиславская 
Марьино
Борисово
Шипиловская 
Красногвардейская/Зябликово
Выставочная/Деловой центр
Шелепиха
Полежаевская/Хорошевская
ЦСКА
Динамо/Петровский парк
Савеловская 
Каширская
Варшавская 
Севастопольская/Каховская
Зюзино
Калужская/Воронцовская
Новаторская
Проспект вернадского
Мичуринский проспект
Аминьевская
Давыдково
Кунцевская
Терехово
Мнёвники
Народное ополчение
Новоясеневская/Битцевский парк
Лесопарковая 
Улица Старокачаловская
Улица Скобелевская
Бульвар Адмирала Ушакова
Улица Горчакова
Бунинская аллея
Лермонтовский проспект/Косино
Дмитриевского
Лухмановская 
Некрасовка 
